region,Timeframe,Date,type,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags
Albany,Weekly,1/6/2020,conventional,0.92,185688.43,4038.61,163629.86,193.31,17826.65,7098.37,9384.95,1343.33
Atlanta,Weekly,1/6/2020,conventional,0.89,812755.45,355460.73,37303.12,2905.78,417085.82,371318.63,45627.67,139.52
Baltimore/Washington,Weekly,1/6/2020,conventional,1.13,1040583.36,120288.69,522244.65,6213.88,391836.14,239052.24,152663.9,120
Boise,Weekly,1/6/2020,conventional,1.09,121921.1,35816.52,8749.59,1834.52,75520.47,39530.82,31962.59,4027.06
Boston,Weekly,1/6/2020,conventional,1.18,762475.92,11242.17,494342.34,1486.19,255405.22,110420.12,144661.77,323.33
Buffalo/Rochester,Weekly,1/6/2020,conventional,1.15,193953.89,11768.48,78719.55,371.44,103094.42,40150.31,60710.78,2233.33
California,Weekly,1/6/2020,conventional,1.12,6728876.94,2002909.6,969150.02,205572.28,3551245.04,1691083.77,1448494.6,411666.67
Charlotte,Weekly,1/6/2020,conventional,1.04,336572.71,117562.68,59910.78,4009.71,155089.54,118035.71,36873.83,180
Chicago,Weekly,1/6/2020,conventional,1.08,807582.31,101085.9,278621.64,42010.95,385863.82,128566.57,257233.8,63.45
Cincinnati/Dayton,Weekly,1/6/2020,conventional,0.73,356146.76,93137.63,21602.44,10971.84,230434.85,209011.94,20838.85,584.06
Columbus,Weekly,1/6/2020,conventional,0.73,251781,78509.61,18725.55,2124.19,152421.65,130665.08,21493.02,263.55
Dallas/Ft. Worth,Weekly,1/6/2020,conventional,0.71,1600871.66,664611.03,201597.18,13711.05,720952.4,415972.63,304522.94,456.83
Denver,Weekly,1/6/2020,conventional,0.95,1037906.96,197120.84,165448.03,4322.79,671015.3,182894.87,477921.99,10198.44
Detroit,Weekly,1/6/2020,conventional,0.82,527800.24,141345.14,51567.73,79314.16,255573.21,231551.54,18144.61,5877.06
Grand Rapids,Weekly,1/6/2020,conventional,1.13,220500.51,4684.77,83359.2,84719.36,47737.18,27827.45,4958.43,14951.3
Great Lakes,Weekly,1/6/2020,conventional,0.89,4498529.52,949568.49,880856.09,370879.95,2297224.99,1581935.33,668199.79,47089.87
Harrisburg/Scranton,Weekly,1/6/2020,conventional,0.99,394956.19,66879.49,226458.48,598.35,101019.87,81236.56,16452.2,3331.11
Hartford/Springfield,Weekly,1/6/2020,conventional,1.38,395520.35,8256.41,317659.39,713.51,68891.04,48984.24,18413.47,1493.33
Houston,Weekly,1/6/2020,conventional,0.7,1441237.76,602142.82,339235.27,1222.9,498636.77,274664.88,213659.44,10312.45
Indianapolis,Weekly,1/6/2020,conventional,0.76,289110.15,82921.74,40007.7,4887.4,161293.31,151150.46,9542.14,600.71
Jacksonville,Weekly,1/6/2020,conventional,0.9,302972.47,133727.65,10458.28,1061.91,157724.63,46967.54,110757.09,0
Las Vegas,Weekly,1/6/2020,conventional,0.92,386024.55,62806.47,55204.41,663.88,267349.79,68297.25,197942.54,1110
Los Angeles,Weekly,1/6/2020,conventional,1.05,3067211.9,913991.69,62160.47,154399.03,1936660.71,970448.74,624012.51,342199.46
Louisville,Weekly,1/6/2020,conventional,0.91,133723.06,37889.03,12970.92,235.26,82627.85,63615.48,19005.7,6.67
Miami/Ft. Lauderdale,Weekly,1/6/2020,conventional,0.9,1285675.89,485437.81,37424.37,4562.05,758251.66,203973.38,554262.06,16.22
Midsouth,Weekly,1/6/2020,conventional,0.97,4219760.75,1270816.41,1038403.45,26093.88,1884447.01,1348348.83,529261.39,6836.79
Nashville,Weekly,1/6/2020,conventional,0.82,287253.98,117532.7,9292.82,556.25,159872.21,134373.08,25054.95,444.18
New Orleans/Mobile,Weekly,1/6/2020,conventional,0.86,340228.52,173426.91,19824.52,442,146535.09,95450.26,43998.17,7086.66
New York,Weekly,1/6/2020,conventional,1.41,2295745.27,42892.09,1637672.42,20553.05,593193.11,442704.95,146043.72,4444.44
Northeast,Weekly,1/6/2020,conventional,1.2,6470709.45,264198.91,4465458.53,26013.54,1713603.87,1047398.2,642558.99,23646.68
Northern New England,Weekly,1/6/2020,conventional,0.83,834766.42,8912.66,709765.25,279.03,115809.48,24697.63,90358.51,753.34
Orlando,Weekly,1/6/2020,conventional,0.87,705584.26,267137.07,17851.1,5212.13,415383.96,120977.82,294391.74,14.4
Philadelphia,Weekly,1/6/2020,conventional,1.17,674360.75,27557.45,435201.12,1941.28,209660.9,167674.04,37852.42,4134.44
Phoenix/Tucson,Weekly,1/6/2020,conventional,0.75,1370165.65,405368.53,247617.44,4964.07,712215.61,191065.36,517900.25,3250
Pittsburgh,Weekly,1/6/2020,conventional,1.2,112236.27,38021.03,7697.27,526.7,65991.27,31537.1,34454.17,0
Plains,Weekly,1/6/2020,conventional,0.99,2295027.35,989571.37,467579.53,21781.13,816095.32,645846.38,126099.96,44148.98
Portland,Weekly,1/6/2020,conventional,0.97,918027.06,66293.24,139520.08,4122.89,708090.85,294784.59,394326.55,18979.71
Raleigh/Greensboro,Weekly,1/6/2020,conventional,1.02,427144.26,160235.91,71978.87,6092.39,188837.09,121597.85,67233.45,5.79
Richmond/Norfolk,Weekly,1/6/2020,conventional,0.83,364862.36,128690.17,66560.76,1749.73,167861.7,129909.29,37532.55,419.86
Roanoke,Weekly,1/6/2020,conventional,0.8,217201.63,77539.77,27623.64,149.73,111888.49,81384.77,30413.72,90
Sacramento,Weekly,1/6/2020,conventional,1.14,577695.32,163291.93,254290.12,4881.29,155231.98,82079.62,65984.57,7167.79
San Diego,Weekly,1/6/2020,conventional,1.1,572790.32,96057.16,23118.1,13496.82,440118.24,195744.53,241707.76,2665.95
San Francisco,Weekly,1/6/2020,conventional,1.34,950897.52,286755.38,253260.33,7002.97,403878.84,151550.85,242818.59,9509.4
Seattle,Weekly,1/6/2020,conventional,1.24,747999.68,72422.61,102444.37,1259.12,571873.58,259590.57,310894.43,1388.58
South Carolina,Weekly,1/6/2020,conventional,0.94,524843.87,218942.9,49044.57,1976.57,254879.83,181382.18,72919.47,578.18
South Central,Weekly,1/6/2020,conventional,0.76,7369854.16,3160394.08,1100031.65,119381.44,2990046.99,1833627.2,1076354.5,80065.29
Southeast,Weekly,1/6/2020,conventional,0.89,6509409.44,2671177.17,260412.62,24024.4,3553795.25,1572503.02,1972748.21,8544.02
Spokane,Weekly,1/6/2020,conventional,1.03,117502.84,18331.54,14483.83,113.94,84573.53,41424.03,43093.33,56.17
St. Louis,Weekly,1/6/2020,conventional,1.01,223047.22,116196.2,9039.14,608.48,97203.4,88890.39,1919.68,6393.33
Syracuse,Weekly,1/6/2020,conventional,1.05,105873.63,3971.33,64966.36,77.5,36858.44,12854.24,22603.09,1401.11
Tampa,Weekly,1/6/2020,conventional,0.87,775191.5,268346.69,21272.19,3442.82,482129.8,105418.6,376708.18,3.02
Total U.S.,Weekly,1/6/2020,conventional,0.97,46310705.72,13036248.61,10416874.46,845596.08,22010551.97,11649671.54,9670934.96,689945.47
West,Weekly,1/6/2020,conventional,0.94,8218538.09,1727612.58,1234982.58,51849.45,5204093.48,1928928.76,3207217.5,67947.22
West Tex/New Mexico,Weekly,1/6/2020,conventional,0.88,893503.74,379712.27,64232.94,63749.67,385808.86,243487.35,141191.3,1130.21
Albany,Weekly,1/6/2020,organic,1.47,2152.91,20.57,192.36,0,1939.98,1024.54,915.44,0
Atlanta,Weekly,1/6/2020,organic,1.33,30540.92,104.01,3734.17,0,26702.74,14142.49,12560.25,0
Baltimore/Washington,Weekly,1/6/2020,organic,1.36,40369.81,297.61,4101.04,10.59,35960.57,33900.82,2059.75,0
Boise,Weekly,1/6/2020,organic,1.95,5494.54,2.67,583.05,0,4908.82,4188.36,720.46,0
Boston,Weekly,1/6/2020,organic,1.7,23220.06,100.46,1850.27,0,21269.33,15568.07,5701.26,0
Buffalo/Rochester,Weekly,1/6/2020,organic,1.13,12334.86,463.19,186.86,0,11684.81,2618.03,9066.78,0
California,Weekly,1/6/2020,organic,1.71,293342.89,24387.15,16999.51,0,251956.23,210545.95,41410.28,0
Charlotte,Weekly,1/6/2020,organic,1.5,17694.92,13.5,3954.94,39.99,13686.49,6703.19,6983.3,0
Chicago,Weekly,1/6/2020,organic,1.11,126287.98,2199.43,29062.22,0,95026.33,90095.37,4930.96,0
Cincinnati/Dayton,Weekly,1/6/2020,organic,1.2,19579.1,81.88,3376.36,0,16120.86,2181.13,13939.73,0
Columbus,Weekly,1/6/2020,organic,1.19,15200.51,571.06,1526.58,0,13102.87,6368.04,6734.83,0
Dallas/Ft. Worth,Weekly,1/6/2020,organic,1.25,33244,3355.85,62.46,248.38,29577.31,19540.64,10036.67,0
Denver,Weekly,1/6/2020,organic,1.5,37216.76,7909.3,1285.84,11.81,28009.81,27916.66,93.15,0
Detroit,Weekly,1/6/2020,organic,1.31,32078.09,353.52,4662.66,0,27061.91,11217.28,15844.63,0
Grand Rapids,Weekly,1/6/2020,organic,1.26,8158.28,11.46,2190.09,0,5956.73,5878.39,78.34,0
Great Lakes,Weekly,1/6/2020,organic,1.17,300121.53,6051.63,50497.61,0,243537.01,176156.83,67380.18,0
Harrisburg/Scranton,Weekly,1/6/2020,organic,1.21,11579.85,582.73,372.14,0,10624.98,10419.84,205.14,0
Hartford/Springfield,Weekly,1/6/2020,organic,2,12614.08,588.78,7150.78,8.46,4866.06,4808.11,57.95,0
Houston,Weekly,1/6/2020,organic,1.59,16699.15,10327.96,31,0,6340.19,6340.19,0,0
Indianapolis,Weekly,1/6/2020,organic,1.23,8698.99,185.29,1260.7,0,7253,2829.33,4423.67,0
Jacksonville,Weekly,1/6/2020,organic,1.21,2794.63,54.17,175.2,0,2565.26,2523.33,41.93,0
Las Vegas,Weekly,1/6/2020,organic,1.3,16064.45,1898.51,565.45,0,13600.49,12031.3,1569.19,0
Los Angeles,Weekly,1/6/2020,organic,1.56,123537.29,13617.74,2064.03,0,107855.52,84073.47,23782.05,0
Louisville,Weekly,1/6/2020,organic,0.92,11720.86,0,1125,0,10595.86,7495.5,3100.36,0
Miami/Ft. Lauderdale,Weekly,1/6/2020,organic,1.19,10196.25,627.89,7.25,0,9561.11,9561.11,0,0
Midsouth,Weekly,1/6/2020,organic,1.24,244521.86,770.96,28279.6,177.28,215294.02,167039.79,48254.23,0
Nashville,Weekly,1/6/2020,organic,1.14,19720.43,76.88,1542.89,0,18100.66,11870.44,6230.22,0
New Orleans/Mobile,Weekly,1/6/2020,organic,1.35,3134.52,52.94,1,0,3080.58,3080.58,0,0
New York,Weekly,1/6/2020,organic,1.56,76275.77,19319.89,12398.18,117.8,44439.9,40619.93,3819.97,0
Northeast,Weekly,1/6/2020,organic,1.49,229043.43,28509.35,30162.97,111.32,170259.79,127082.82,43176.97,0
Northern New England,Weekly,1/6/2020,organic,1.56,23410.33,41.38,691.26,0,22677.69,11447.53,11230.16,0
Orlando,Weekly,1/6/2020,organic,1.14,9328.25,101.58,0,0,9226.67,9226.67,0,0
Philadelphia,Weekly,1/6/2020,organic,1.45,23759.79,1978.46,3873.19,0,17908.14,15296.63,2611.51,0
Phoenix/Tucson,Weekly,1/6/2020,organic,1.35,25650.7,3258.12,1267.81,0,21124.77,18172.48,2952.29,0
Pittsburgh,Weekly,1/6/2020,organic,1.23,14095.94,1506.46,6.55,0,12582.93,12582.93,0,0
Plains,Weekly,1/6/2020,organic,1.35,56875.33,4545.52,5570.62,4.32,46754.87,37333.77,9421.1,0
Portland,Weekly,1/6/2020,organic,1.6,29529.65,196.79,10562.55,0,18770.31,6483.67,12206.08,80.56
Raleigh/Greensboro,Weekly,1/6/2020,organic,1.87,17410.53,2.21,3630.53,48.5,13729.29,9999.87,3729.42,0
Richmond/Norfolk,Weekly,1/6/2020,organic,0.94,28332.88,19.89,2018.97,21.04,26272.98,22532.82,3740.16,0
Roanoke,Weekly,1/6/2020,organic,0.87,18932.7,7.12,1306.4,0,17619.18,13335.65,4283.53,0
Sacramento,Weekly,1/6/2020,organic,1.75,17627.39,2019.3,2555.47,0,13052.62,13043.26,9.36,0
San Diego,Weekly,1/6/2020,organic,1.63,27263.25,913.6,838.39,0,25511.26,14415.75,11095.51,0
San Francisco,Weekly,1/6/2020,organic,1.98,67140.53,4048.98,5368.47,0,57723.08,57644.75,78.33,0
Seattle,Weekly,1/6/2020,organic,1.59,40220.62,256.56,11983.69,0,27980.37,11379.41,16583.14,17.82
South Carolina,Weekly,1/6/2020,organic,1.55,18537.67,55.44,3353.25,47.63,15081.35,10505.61,4575.74,0
South Central,Weekly,1/6/2020,organic,1.34,135702,22194.46,1850.62,2192.75,109464.17,82393.54,27070.63,0
Southeast,Weekly,1/6/2020,organic,1.29,127700.34,1576.95,11286.49,51.07,114785.83,89447.41,25338.42,0
Spokane,Weekly,1/6/2020,organic,1.73,3356.13,48.45,931.1,0,2376.58,2243.16,133.42,0
St. Louis,Weekly,1/6/2020,organic,2.07,7833.62,1229.32,2310.66,0,4293.64,2039.26,2254.38,0
Syracuse,Weekly,1/6/2020,organic,1.17,4228.66,86.67,83.77,0,4058.22,990.95,3067.27,0
Tampa,Weekly,1/6/2020,organic,1.15,9233.65,165.09,3,0,9065.56,9065.56,0,0
Total U.S.,Weekly,1/6/2020,organic,1.4,1661847.67,111735.11,180465.83,3006.45,1366605,1060725.23,305796.57,83.2
West,Weekly,1/6/2020,organic,1.51,274540.27,23699.1,35818.42,469.71,214553.04,170725.09,43744.75,83.2
West Tex/New Mexico,Weekly,1/6/2020,organic,1.29,25878.23,1716.57,517.78,1298.84,22345.04,20561.19,1783.85,0
Albany,Weekly,1/12/2020,conventional,0.97,134040.63,3934.24,106147.5,209.81,23749.08,8715.36,13781.5,1252.22
Atlanta,Weekly,1/12/2020,conventional,0.88,844402.2,372120.95,37790.11,2637.07,431854.07,370512.24,61173.39,168.44
Baltimore/Washington,Weekly,1/12/2020,conventional,1.26,948410.14,98296.04,412765.32,4715.95,432632.83,263850.85,168535.31,246.67
Boise,Weekly,1/12/2020,conventional,1.02,141505.85,41313.77,9217.38,1231.79,89742.91,44381.25,34285.52,11076.14
Boston,Weekly,1/12/2020,conventional,1.27,712912.97,13429.49,439759.93,1387.48,258336.07,149663.12,108292.95,380
Buffalo/Rochester,Weekly,1/12/2020,conventional,1,215290.66,10160.93,69702.04,338.45,135089.24,95824.35,36928.23,2336.66
California,Weekly,1/12/2020,conventional,1.1,6950084.14,2080166,942003.48,142502.03,3785412.63,1720900.19,1797140.43,267372.01
Charlotte,Weekly,1/12/2020,conventional,1.11,333879.89,115483.39,59263.17,2803.73,156329.6,113814.53,42295.26,219.81
Chicago,Weekly,1/12/2020,conventional,1.36,667264.67,91168.61,201653.97,42938.03,331504.06,167801.21,163519.45,183.4
Cincinnati/Dayton,Weekly,1/12/2020,conventional,0.74,407672.05,90021.93,13103.61,10048.46,294498.05,271751.84,14820.47,7925.74
Columbus,Weekly,1/12/2020,conventional,0.74,285629.64,79911.69,11710.44,2031.19,191976.32,164567.04,27167.69,241.59
Dallas/Ft. Worth,Weekly,1/12/2020,conventional,0.72,1666475.07,657589.73,207742.84,10656.84,790485.66,450864.81,338958.08,662.77
Denver,Weekly,1/12/2020,conventional,1.07,843040.7,206629.28,103376.22,3909.59,529125.61,203294.84,310622.35,15208.42
Detroit,Weekly,1/12/2020,conventional,0.8,645737.1,153854.08,39839.62,45375.29,406668.11,379707.18,20315.86,6645.07
Grand Rapids,Weekly,1/12/2020,conventional,1.43,183161.26,5848.55,64138.62,49148.25,64025.84,48216.69,6114.16,9694.99
Great Lakes,Weekly,1/12/2020,conventional,0.93,4726454.07,981127.81,673015.44,241973.86,2830336.96,2166106.07,617586.29,46644.6
Harrisburg/Scranton,Weekly,1/12/2020,conventional,0.98,392328.45,61102.94,185881.78,536.55,144807.18,121206.14,19758.82,3842.22
Hartford/Springfield,Weekly,1/12/2020,conventional,1.41,357414.94,7798.07,266175.83,634.64,82806.4,56898.48,24190.15,1717.77
Houston,Weekly,1/12/2020,conventional,0.7,1501410.36,600480.98,226169.56,1302.71,673457.11,307721.52,353461.57,12274.02
